what,kind,bundleId,bundleVersion,description,time
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907995658
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907995778
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907995911
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996039
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996157
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996278
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996405
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996522
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996644
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996762
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907996899
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997019
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997137
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997266
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997381
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997497
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997615
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997735
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997855
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907997975
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998093
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998210
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998332
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998519
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998657
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998811
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907998930
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366907999091
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999166
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999292
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999411
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999534
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999652
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999796
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366907999914
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000034
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000151
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000289
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000407
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000525
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000643
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000759
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908000877
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001013
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001140
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001270
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001396
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001517
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001637
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001767
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908001882
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002003
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002121
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002239
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002368
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002491
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002611
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002732
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002855
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908002979
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003098
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003215
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003335
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003455
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003581
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003701
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003825
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908003944
error,log,,,"activity_configuracion.xml: Color value '@android:color/#FFFFFF' must start with #",1366908004070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366908049006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366908049631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366908051043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366908051744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366908055520
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908067405
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908068586
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908077090
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908081302
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366908088310
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908090920
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908092404
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366908093275
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908095959
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908098370
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366908099356
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908101509
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366908112733
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908117320
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1366908128986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366908142791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1366908142792
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908144925
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908144966
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908149333
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908149995
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150137
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150203
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150269
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150335
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150399
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150465
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150532
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150598
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150664
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150728
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150796
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150862
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150931
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908150999
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908151074
error,log,,,"activity_en_movimiento.xml: Failed to convert 16dp into a drawable",1366908151138
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908161434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366908163235
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908163711
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908163762
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908166870
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908175040
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908179137
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366908186034
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908188363
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366908188400
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366908197029
